Country,Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD,Total_Social_Spending,Development_Spending,Governance_Spending,Social_Spending_%,Development_Spending_%,Governance_Spending_%,Total_Allocated,Budget_Remaining
Argentina,1986,5.78,15.4,17.82,8.65,20.499,13.09,7.85,10.47,10.47,10.47,1.185,3.157,3.653,1.773,2.683,1.609,2.146,2.146,2.146,8.956,4.292,5.104,43.68993609444363,20.937606712522562,24.898775550026834,20.498,0.0009999999999976694
Argentina,1987,5.78,15.4,17.82,8.65,21.068,13.09,7.85,10.47,10.47,10.47,1.218,3.244,3.754,1.822,2.758,1.654,2.206,2.206,2.206,9.204,4.412,5.246,43.68710841086007,20.941712549838616,24.900322764382,21.067999999999998,3.552713678800501e-15
Argentina,1988,5.78,15.4,17.82,8.65,24.568,13.09,7.85,10.47,10.47,10.47,1.42,3.784,4.378,2.125,3.216,1.929,2.572,2.572,2.572,10.733999999999998,5.1450000000000005,6.117,43.69098013676326,20.94187561055031,24.898241615109086,24.567999999999998,3.552713678800501e-15
Argentina,1989,5.78,15.4,17.82,8.65,14.837,13.09,7.85,10.47,10.47,10.47,0.858,2.285,2.644,1.283,1.942,1.165,1.553,1.553,1.553,6.482,3.107,3.694,43.688077104535964,20.940891015703986,24.897216418413425,14.836000000000002,0.0009999999999976694
Argentina,1990,5.78,15.4,17.82,8.65,27.369,13.09,7.85,10.47,10.47,10.47,1.582,4.215,4.877,2.367,3.583,2.148,2.866,2.866,2.866,11.957999999999998,5.731,6.815,43.6917680587526,20.939749351456026,24.90043479849465,27.37,-0.0010000000000012221
Argentina,1991,5.78,15.4,17.82,11.05,39.865,12.49,7.49,9.99,9.99,9.99,2.304,6.139,7.104,4.405,4.979,2.986,3.982,3.982,3.982,17.225,7.965,10.690999999999999,43.20832810736235,19.97993227141603,26.818010786404113,39.863,0.0020000000000024443
Argentina,1992,5.78,15.4,17.82,9.8,50.627,12.8,7.68,10.24,10.24,10.24,2.926,7.797,9.022,4.961,6.48,3.888,5.184,5.184,5.184,22.003,10.368,13.071,43.460999071641616,20.47919094554289,25.818239279435872,50.62599999999999,0.0010000000000118803
Argentina,1993,5.78,15.4,17.82,7.61,63.402,13.35,8.01,10.68,10.68,10.68,3.665,9.764,11.298,4.825,8.464,5.078,6.771,6.771,6.771,27.833,13.542000000000002,15.261,43.89924608056528,21.35894766726602,24.07021860509132,63.407000000000004,-0.005000000000002558
Argentina,1994,5.68,15.4,17.82,8.32,71.933,13.19,7.92,10.56,10.56,10.56,4.086,11.078,12.818,5.985,9.488,5.697,7.596,7.596,7.596,31.492,15.184999999999999,17.667,43.77962826519122,21.109921732723503,24.560354774581903,71.94000000000001,-0.007000000000005002
Argentina,1995,5.76,15.4,17.82,10.2,75.052,12.7,7.62,10.16,10.16,10.16,4.323,11.558,13.374,7.655,9.532,5.719,7.625,7.625,7.625,32.557,15.251000000000001,19.603,43.379257048446405,20.320577732771945,26.119224004690082,75.036,0.016000000000005343
Argentina,1996,4.89,15.4,17.82,11.21,77.394,12.67,7.6,10.13,10.13,10.13,3.785,11.919,13.792,8.676,9.806,5.882,7.84,7.84,7.84,33.551,15.687999999999999,20.301000000000002,43.35090575496808,20.27030519161692,26.230715559345686,77.38000000000001,0.013999999999995794
Argentina,1997,4.51,15.62,17.82,13.04,82.452,12.25,7.35,9.8,9.8,9.8,3.719,12.879,14.693,10.752,10.1,6.06,8.08,8.08,8.08,35.652,16.16,22.551000000000002,43.23970309998545,19.599282006500754,27.35045844855189,82.443,0.009000000000000341
Argentina,1998,4.39,15.62,17.82,14.71,84.641,11.86,7.12,9.49,9.49,9.49,3.716,13.221,15.083,12.451,10.038,6.026,8.032,8.032,8.032,36.336,16.064,24.199,42.92954950910315,18.978981817322573,28.59016315969802,84.63099999999999,0.010000000000019327
Argentina,1999,4.29,15.88,17.82,17.27,89.019,11.19,6.71,8.95,8.95,8.95,3.819,14.136,15.863,15.374,9.961,5.973,7.967,7.967,7.967,37.966,15.934000000000001,27.16,42.64932205484222,17.899549534369065,30.510340489109065,89.027,-0.007999999999995566
Argentina,2000,4.07,16.23,17.82,20.1,89.708,10.45,6.27,8.36,8.36,8.36,3.651,14.56,15.986,18.031,9.374,5.625,7.5,7.5,7.5,38.046,14.999,29.182,42.41093325010033,16.719802024345658,32.529986177375484,89.727,-0.019000000000005457
Argentina,2001,4.01,16.36,16.94,22.27,85.616,10.11,6.06,8.09,8.09,8.09,3.433,14.007,14.503,19.067,8.656,5.188,6.926,6.926,6.926,35.436,13.844000000000001,29.426000000000002,41.38945991403476,16.169874789758925,34.36974397308914,85.632,-0.016000000000005343
Argentina,2002,4.47,16.44,17.75,34.28,36.058,6.76,4.06,5.41,5.41,5.41,1.612,5.928,6.4,12.361,2.438,1.464,1.951,1.951,1.951,14.279,3.902,15.924000000000001,39.60008874590937,10.821454323589773,44.16218314937046,36.056,0.0020000000000024443
Argentina,2003,4.31,14.35,17.08,30.01,47.46,8.56,5.14,6.85,6.85,6.85,2.046,6.811,8.106,14.243,4.063,2.439,3.251,3.251,3.251,18.168,6.502,19.54,38.28065739570164,13.699957859249896,41.171512852928785,47.461,-0.0009999999999976694
Argentina,2004,3.84,15.14,14.93,26.31,52.108,9.94,5.97,7.96,7.96,7.96,2.001,7.889,7.78,13.71,5.18,3.111,4.148,4.148,4.148,19.817,8.291,19.859,38.03062869425041,15.911184463038305,38.11123052122515,52.114999999999995,-0.006999999999997897
Argentina,2005,3.47,15.8,16.1,7.76,91.563,14.22,8.53,11.37,11.37,11.37,3.177,14.467,14.742,7.105,13.02,7.81,10.411,10.411,10.411,39.620000000000005,20.83,20.692999999999998,43.27075347028822,22.749363825999584,22.5997400696788,91.554,0.009000000000000341
Argentina,2006,2.96,15.51,15.19,7.76,107.145,14.64,8.79,11.72,11.72,11.72,3.171,16.618,16.275,8.314,15.686,9.418,12.557,12.557,12.557,45.45,25.104,24.042,42.41915161696767,23.429931401371974,22.438751224975505,107.153,-0.008000000000009777
Argentina,2007,2.68,15.1,14.37,7.76,132.473,15.02,9.01,12.02,12.02,12.02,3.55,20.003,19.036,10.28,19.897,11.936,15.923,15.923,15.923,54.962,31.833,29.753,41.48920912185879,24.029802299336463,22.459671027303674,132.471,0.0020000000000095497
Argentina,2008,2.48,15.75,14.56,7.76,166.579,14.86,8.92,11.89,11.89,11.89,4.131,26.236,24.254,12.927,24.754,14.859,19.806,19.806,19.806,70.296,39.613,36.864000000000004,42.199797093271066,23.780308442240617,22.130040401251062,166.579,0.0
Argentina,2009,2.57,16.02,16.64,7.76,153.411,14.25,8.55,11.4,11.4,11.4,3.943,24.576,25.528,11.905,21.861,13.117,17.489,17.489,17.489,67.593,34.978,33.337,44.060073919080125,22.800190338372087,21.730514761001494,153.39700000000002,0.013999999999981583
Argentina,2010,2.44,15.05,16.7,7.76,195.176,14.51,8.71,11.61,11.61,11.61,4.762,29.374,32.594,15.146,28.32,17.0,22.66,22.66,22.66,84.628,45.32,42.568,43.359839324507114,23.220068041152604,21.81005861376399,195.176,0.0
Argentina,2011,2.19,15.16,16.39,7.76,244.258,14.63,8.78,11.7,11.7,11.7,5.349,37.029,40.034,18.954,35.735,21.446,28.578,28.578,28.578,105.641,57.181,52.881,43.249760499144344,23.410082781321385,21.649649141481547,244.281,-0.022999999999996135
Argentina,2012,2.13,14.52,16.68,7.76,251.548,14.73,8.84,11.78,11.78,11.78,5.358,36.525,41.958,19.52,37.053,22.237,29.632,29.632,29.632,108.11500000000001,59.28999999999999,54.510000000000005,42.97986865329877,23.57005422424348,21.669820471639607,251.547,0.0010000000000047748
Argentina,2013,2.23,14.46,16.74,7.76,254.332,14.7,8.82,11.76,11.76,11.76,5.672,36.776,42.575,19.736,37.387,22.432,29.909,29.909,29.909,109.25999999999999,59.819,55.31699999999999,42.95959611845934,23.520044666027083,21.74991743075979,254.30499999999998,0.027000000000015234
Argentina,2014,2.26,13.8,16.49,7.76,242.489,14.92,8.95,11.94,11.94,11.94,5.48,33.463,39.986,18.817,36.179,21.703,28.953,28.953,28.953,102.402,57.882000000000005,53.25,42.22954443294335,23.869948739942846,21.95975899937729,242.48700000000002,0.001999999999981128
Argentina,2015,2.06,13.96,16.45,7.37,278.908,15.04,9.02,12.03,12.03,12.03,5.746,38.936,45.88,20.556,41.948,25.158,33.553,33.553,33.553,118.369,67.106,59.855000000000004,42.44015947911139,24.060263599466488,21.46048159249645,278.883,0.025000000000034106
Argentina,2016,1.95,13.36,15.84,11.39,273.703,14.37,8.62,11.49,11.49,11.49,5.337,36.567,43.355,31.175,39.331,23.593,31.448,31.448,31.448,111.37,62.92400000000001,67.96,40.690091084131346,22.98988319455761,24.829833797948872,273.702,0.0009999999999763531
Argentina,2017,2.06,13.26,16.25,9.42,293.069,14.75,8.85,11.8,11.8,11.8,6.037,38.861,47.624,27.607,43.228,25.937,34.582,34.582,34.582,121.06700000000001,69.165,68.226,41.31006691257008,23.600244311066678,23.27984194848312,293.04,0.028999999999996362
Argentina,2018,1.88,12.52,15.69,12.88,223.111,14.26,8.55,11.41,11.41,11.41,4.194,27.934,35.006,28.737,31.816,19.076,25.457,25.457,25.457,88.39699999999999,50.891999999999996,58.388,39.62018905387901,22.810170722196574,26.169933351560438,223.134,-0.022999999999996135
Argentina,2019,1.84,12.51,16.31,15.8,185.022,13.39,8.03,10.71,10.71,10.71,3.404,23.146,30.177,29.233,24.774,14.857,19.816,19.816,19.816,73.139,39.631,52.453,39.52989374236577,21.419614964706902,28.349601668990715,185.03900000000002,-0.01700000000002433
Argentina,2020,1.73,12.42,16.46,7.5,186.912,15.47,9.28,12.38,12.38,12.38,3.234,23.215,30.766,14.018,28.915,17.345,23.14,23.14,23.14,77.121,46.26,40.392,41.26059322033898,24.74961479198767,21.610169491525426,186.91299999999995,-0.0009999999999479314
Argentina,2021,1.67,12.28,16.76,6.52,208.908,15.69,9.42,12.55,12.55,12.55,3.489,25.654,35.013,13.621,32.778,19.679,26.218,26.218,26.218,86.885,52.456999999999994,43.328,41.59007792904054,25.110096310337564,20.74023014915657,208.88799999999998,0.020000000000010232
Argentina,2022,1.82,12.71,15.8,7.76,259.944,15.48,9.29,12.38,12.38,12.38,4.731,33.039,41.071,20.172,40.239,24.149,32.181,32.181,32.181,106.291,64.388,57.084,40.88996091465854,24.76995045086634,21.96011448619703,259.94399999999996,5.684341886080802e-14
Argentina,2023,2.0,13.22,16.35,7.29,255.856,15.29,9.17,12.23,12.23,12.23,5.117,33.824,41.832,18.652,39.12,23.462,31.291,31.291,31.291,106.947,62.581999999999994,55.06,41.79968419736102,24.45985241698455,21.519917453567633,255.87999999999997,-0.023999999999972488
Argentina,2024,1.93,13.22,16.35,7.29,251.485,15.3,9.18,12.24,12.24,12.24,4.854,33.246,41.118,18.333,38.477,23.086,30.782,30.782,30.782,105.146,61.562999999999995,53.969,41.81004831302065,24.479790047120105,21.4601268465316,251.46,0.025000000000005684
Argentina,2025,1.93,13.22,16.35,7.29,269.107,15.3,9.18,12.24,12.24,12.24,5.194,35.576,43.999,19.618,41.173,24.704,32.939,32.939,32.939,112.51400000000001,65.87700000000001,57.751000000000005,41.810135002062374,24.479853738475775,21.460237006097945,269.081,0.02600000000001046
Argentina,2026,1.93,13.22,16.35,7.29,278.526,15.3,9.18,12.24,12.24,12.24,5.376,36.821,45.539,20.305,42.614,25.569,34.092,34.092,34.092,116.452,68.18299999999999,59.772999999999996,41.81010031379476,24.479940831376602,21.460474067052985,278.49999999999994,0.026000000000067303
Australia,1946,7.04,13.25,14.6,5.0,2.468,9.02,6.01,12.02,21.04,12.02,0.174,0.327,0.36,0.123,0.223,0.148,0.297,0.519,0.297,1.206,0.371,0.594,48.86547811993517,15.032414910858996,24.06807131280389,2.468,0.0
Australia,1947,7.04,13.25,14.6,5.0,2.592,9.02,6.01,12.02,21.04,12.02,0.182,0.343,0.378,0.13,0.234,0.156,0.312,0.545,0.312,1.266,0.39,0.624,48.842592592592595,15.046296296296296,24.074074074074073,2.5919999999999996,4.440892098500626e-16
Australia,1948,7.04,13.25,14.6,5.0,2.721,9.02,6.01,12.02,21.04,12.02,0.192,0.361,0.397,0.136,0.245,0.164,0.327,0.573,0.327,1.331,0.40900000000000003,0.655,48.91583976479235,15.031238515251747,24.072032341051084,2.7219999999999995,-0.0009999999999994458
Australia,1949,7.04,13.25,14.6,5.0,2.857,9.02,6.01,12.02,21.04,12.02,0.201,0.379,0.417,0.143,0.258,0.172,0.343,0.601,0.343,1.397,0.43,0.687,48.89744487224361,15.05075253762688,24.046202310115504,2.857,0.0
Australia,1950,7.04,13.25,14.6,5.0,3.0,9.02,6.01,12.02,21.04,12.02,0.211,0.398,0.438,0.15,0.271,0.18,0.361,0.631,0.361,1.467,0.451,0.722,48.900000000000006,15.033333333333335,24.066666666666666,3.0009999999999994,-0.0009999999999994458
Australia,1951,7.04,13.25,14.6,5.0,3.15,9.02,6.01,12.02,21.04,12.02,0.222,0.417,0.46,0.158,0.284,0.189,0.379,0.663,0.379,1.54,0.473,0.759,48.88888888888889,15.015873015873016,24.0952380952381,3.1510000000000002,-0.001000000000000334
Australia,1952,7.04,13.25,14.6,5.0,3.308,9.02,6.01,12.02,21.04,12.02,0.233,0.438,0.483,0.165,0.298,0.199,0.398,0.696,0.398,1.617,0.497,0.796,48.88149939540508,15.024183796856109,24.06287787182588,3.3080000000000003,-4.440892098500626e-16
Australia,1953,7.04,13.25,14.6,5.0,3.473,9.02,6.01,12.02,21.04,12.02,0.245,0.46,0.507,0.174,0.313,0.209,0.417,0.731,0.417,1.698,0.522,0.8359999999999999,48.891448315577314,15.030233227756984,24.071408004606965,3.473,0.0
Australia,1954,7.04,13.25,14.6,5.0,3.647,9.02,6.01,12.02,21.04,12.02,0.257,0.483,0.532,0.182,0.329,0.219,0.438,0.767,0.438,1.782,0.548,0.877,48.862078420619696,15.026048807238828,24.04716205100082,3.645,0.0019999999999997797
Australia,1955,7.04,13.25,14.6,5.0,3.829,9.02,6.01,12.02,21.04,12.02,0.27,0.507,0.559,0.191,0.345,0.23,0.46,0.806,0.46,1.872,0.575,0.921,48.89004962131105,15.016975711674064,24.05327761817707,3.8280000000000003,0.0009999999999998899
Australia,1956,7.04,13.25,14.6,5.0,4.021,9.02,6.01,12.02,21.04,12.02,0.283,0.533,0.587,0.201,0.363,0.242,0.483,0.846,0.483,1.9660000000000002,0.605,0.9670000000000001,48.89331012186024,15.046008455608057,24.048744093509082,4.021,0.0
Australia,1957,7.04,13.25,14.6,5.0,4.222,9.02,6.01,12.02,21.04,12.02,0.297,0.559,0.616,0.211,0.381,0.254,0.507,0.888,0.507,2.063,0.635,1.0150000000000001,48.86309805779251,15.040265277119847,24.040738986262436,4.22,0.002000000000000668
Australia,1958,7.04,13.25,14.6,5.0,4.433,9.02,6.01,12.02,21.04,12.02,0.312,0.587,0.647,0.222,0.4,0.266,0.533,0.933,0.533,2.167,0.666,1.067,48.8833746898263,15.023685991427929,24.069478908188586,4.433000000000001,-8.881784197001252e-16
Australia,1959,7.04,13.25,14.6,5.0,4.654,9.02,6.01,12.02,21.04,12.02,0.328,0.617,0.68,0.233,0.42,0.28,0.559,0.979,0.559,2.2760000000000002,0.7,1.12,48.904168457241084,15.040825096691018,24.06532015470563,4.655,-0.001000000000000334
